List of Chess Openings:
==================================================

1. Alekhine_Defense,Alekhine_Defense_Balogh_Variation
2. Alekhine_Defense,Alekhine_Defense_Brooklyn_Variation
3. Alekhine_Defense,Alekhine_Defense_Exchange_Variation
4. Alekhine_Defense,Alekhine_Defense_Four_Pawns_Attack
5. Alekhine_Defense,Alekhine_Defense_Hunt_Variation
6. Alekhine_Defense,Alekhine_Defense_Kmoch_Variation
7. Alekhine_Defense,Alekhine_Defense_Krejcik_Variation
8. Alekhine_Defense,Alekhine_Defense_Maroczy_Variation
9. Alekhine_Defense,Alekhine_Defense_Modern_Variation
10. Alekhine_Defense,Alekhine_Defense_Mokele_Mbembe
11. Alekhine_Defense,Alekhine_Defense_Normal_Variation
12. Alekhine_Defense,Alekhine_Defense_OSullivan_Gambit
13. Alekhine_Defense,Alekhine_Defense_Other_variations
14. Alekhine_Defense,Alekhine_Defense_Samisch_Attack
15. Alekhine_Defense,Alekhine_Defense_Scandinavian_Variation
16. Alekhine_Defense,Alekhine_Defense_Spielmann_Gambit
17. Alekhine_Defense,Alekhine_Defense_Steiner_Variation
18. Alekhine_Defense,Alekhine_Defense_The_Squirrel
19. Alekhine_Defense,Alekhine_Defense_Two_Pawn_Attack
20. Alekhine_Defense,Alekhine_Defense_Two_Pawns_Attack
21. Alekhine_Defense,Alekhine_Defense_Welling_Variation
22. Amar_Gambit,Amar_Gambit_Other_variations
23. Amar_Opening,Amar_Opening_Other_variations
24. Amar_Opening,Amar_Opening_Paris_Gambit
25. Amazon_Attack,Amazon_Attack_Other_variations
26. Amazon_Attack,Amazon_Attack_Siberian_Attack
27. Anderssens_Opening,Anderssens_Opening_Other_variations
28. Anderssens_Opening,Anderssens_Opening_Polish_Gambit
29. Australian_Defense,Australian_Defense_Other_variations
30. Barnes_Defense,Barnes_Defense_Other_variations
31. Barnes_Opening,Barnes_Opening_Hammerschlag
32. Barnes_Opening,Barnes_Opening_Walkerling
33. Benko_Gambit,Benko_Gambit_Fianchetto_Variation
34. Benko_Gambit,Benko_Gambit_Nescafe_Frappe_Attack
35. Benko_Gambit,Benko_Gambit_Other_variations
36. Benko_Gambit,Benko_Gambit_Zaitsev_System
37. Benko_Gambit,Benko_Gambit_Zaitsev_Variation
38. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Central_Storming_Variation
39. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Dlugy_Variation
40. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Fianchetto_Variation
41. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Fully_Accepted_Variation
42. Benko_Gambit_Accepted,Benko_Gambit_Accepted_King_Walk_Variation
43. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Modern_Variation
44. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Other_variations
45. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Pawn_Return_Variation
46. Benko_Gambit_Accepted,Benko_Gambit_Accepted_Yugoslav
47. Benko_Gambit_Declined,Benko_Gambit_Declined_Bishop_Attack
48. Benko_Gambit_Declined,Benko_Gambit_Declined_Hjrring_Countergambit
49. Benko_Gambit_Declined,Benko_Gambit_Declined_Main_Line
50. Benko_Gambit_Declined,Benko_Gambit_Declined_Pseudo-Samisch
51. Benko_Gambit_Declined,Benko_Gambit_Declined_Quiet_Line
52. Benko_Gambit_Declined,Benko_Gambit_Declined_Sosonko_Variation
